t,y_syn,y_trend_syn,eps
0,38.089247733676046,37.523677896400294,0.5655698372757505
1,37.37266328145339,37.53009410527906,-0.15743082382567053
2,38.27398970609596,37.53651705934677,0.7374726467491912
3,39.277102596186964,37.54294675860343,1.7341558375835355
4,37.282770936744534,37.549383203049025,-0.26661226630449136
5,37.289232820023706,37.55582639268357,-0.2665935726598645
6,39.36040333813422,37.56227632750706,1.7981270106271587
7,38.442551343992285,37.56873300751949,0.873818336472795
8,37.04064240310707,37.575196432720865,-0.5345540296137961
9,38.19943759615214,37.581666603111195,0.6177709930409385
10,37.06048577524638,37.58814351869045,-0.5276577434440757
11,37.06433687195611,37.59462717945867,-0.5302903075025593
12,37.876621236211484,37.601117585415814,0.2755036507956715
13,35.42911108396007,37.60761473656192,-2.1785036526018504
14,35.65008863307861,37.61411863289696,-1.96402999981835
15,36.980396125260405,37.62062927442095,-0.6402331491605454
16,36.47391450851109,37.62714666113388,-1.153232152622785
17,37.991479830049904,37.633670793035755,0.35780903701415095
18,36.60630516139678,37.64020167012657,-1.0338965087297871
19,36.03865872996248,37.64673929240634,-1.6080805624438623
20,39.32210410865258,37.653283659875044,1.6688204487775415
21,37.40276083020032,37.659834772532705,-0.25707394233238007
22,37.74328175364133,37.6663926303793,0.0768891232620294
23,36.05070710232701,37.67295723341484,-1.622250131087833
24,37.05968224334006,37.679528581639325,-0.6198463382992605
25,37.81240561506101,37.686106675052756,0.12629894000825342
26,36.38214449915636,37.69269151365513,-1.3105470144987696
27,38.12706125881441,37.699283097446454,0.4277781613679513
28,37.02198078848534,37.705881426426714,-0.6839006379413756
29,37.38035747708247,37.71248650059592,-0.3321290235134526
30,37.033981721799435,37.71909831995407,-0.6851165981546352
31,39.83476222788692,37.725716884501175,2.109045343385745
32,37.71697395245785,37.732342194237205,-0.015368241779355687
33,36.534640943280266,37.7389742491622,-1.2043333058819332
34,38.68218107189028,37.74561304927612,0.9365680226141554
35,36.362178726173035,37.752258594579,-1.390079868405964
36,37.99672764290537,37.75891088507081,0.23781675783455714
37,35.53424571475144,37.76556992075158,-2.2313242060001386
38,36.25993337845714,37.772235701621284,-1.5123023231641426
39,38.003058831123454,37.778908227679935,0.22415060344352075
40,38.62642205326756,37.78558749892753,0.8408345543400251
41,37.98739727078613,37.79227351536407,0.1951237554220583
42,37.66728655766806,37.79896627698956,-0.13167971932149578
43,37.46282238567415,37.80566578380399,-0.3428433981298403
44,36.12889384934666,37.812372035807364,-1.6834781864607007
45,36.99945432721531,37.81908503299967,-0.8196307057843649
46,37.301311174473355,37.82580477538094,-0.524493600907586
47,39.03619425873795,37.83253126295114,1.2036629957868097
48,38.2305159608398,37.839264495710296,0.3912514651295079
49,35.83856754492534,37.84600447365838,-2.00743692873304
50,38.22176044834005,37.85275119679543,0.3690092515446195
51,37.42104137320087,37.859504665121406,-0.43846329192053596
52,37.095506358387865,37.866264878636336,-0.7707585202484698
53,38.569500132128944,37.87303183734021,0.6964682947887348
54,39.05372464266081,37.879805541233026,1.1739191014277826
55,38.94696235010572,37.886585990314785,1.0603763597909333
56,36.937821354281105,37.89337318458549,-0.95555183030439
57,37.54809100132217,37.90016712404513,-0.352076122722962
58,38.284151756158344,37.90696780869373,0.3771839474646188
59,39.0245527258586,37.913775238531265,1.1107774873273326
60,37.374990915745755,37.92058941355775,-0.5455984978119964
61,37.71601487305603,37.927410333773175,-0.21139546071713974
62,36.67454026874686,37.93423799917755,-1.2596977304306887
63,36.579044809735535,37.94107240977086,-1.3620276000353277
64,38.87307362867586,37.94791356555312,0.9251600631227395
65,39.4990066780118,37.954761466524324,1.544245211487478
66,37.87962377866803,37.961616112684474,-0.08199233401644601
67,39.11112249274766,37.968477504033565,1.1426449887140957
68,38.38711250205384,37.975345640571604,0.4117668614822321
69,37.24767274985543,37.98222052229858,-0.7345477724431472
70,38.40059526363548,37.98910214921451,0.4114931144209689
71,39.74723333440796,37.99599052131937,1.7512428130885875
72,37.962093309691596,38.00288563861319,-0.040792328921597294
73,39.791325740843355,38.00978750109594,1.781538239747409
74,35.033795776168404,38.016696108767654,-2.982900332599254
75,38.95944802444416,38.02361146162829,0.9358365628158642
76,38.129647297267894,38.03053355967789,0.09911373759000335
77,37.69700595020205,38.037462402916425,-0.3404564527143744
78,38.14887886256303,38.04439799134391,0.10448087121912418
79,35.78824993224561,38.051340324960336,-2.263090392714725
80,37.80816608212259,38.0582894037657,-0.25012332164311163
81,38.47186158393712,38.065245227760016,0.40661635617710434
82,39.75497099047835,38.07220779694327,1.6827631935350802
83,37.489063056306335,38.079177111315474,-0.590114055009139
84,37.16558428300674,38.086153170876614,-0.9205688878698757
85,37.521824190424475,38.09313597562671,-0.5713117852022324
86,39.142422838038186,38.10012552556574,1.04229731247245
87,38.481445182464824,38.10712182069372,0.37432336177110404
